,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.714,0.696,10,-3.72,0,0.0728,0.278,0,0.175,0.853,98.046,audio_features,51FonRnKwkcXS6e0qwpEeY,spotify:track:51FonRnKwkcXS6e0qwpEeY,https://api.spotify.com/v1/tracks/51FonRnKwkcXS6e0qwpEeY,https://api.spotify.com/v1/audio-analysis/51FonRnKwkcXS6e0qwpEeY,180920,4
1,0.531,0.611,1,-5.119,1,0.0387,0.0162,0,0.11,0.597,115.058,audio_features,7p83db7oriaCul8WzoLr6f,spotify:track:7p83db7oriaCul8WzoLr6f,https://api.spotify.com/v1/tracks/7p83db7oriaCul8WzoLr6f,https://api.spotify.com/v1/audio-analysis/7p83db7oriaCul8WzoLr6f,194452,4
2,0.702,0.739,9,-4.891,0,0.0588,0.269,1.93e-06,0.0728,0.41,105.983,audio_features,2U7Zc6NrWQgUWdBAIFrzdI,spotify:track:2U7Zc6NrWQgUWdBAIFrzdI,https://api.spotify.com/v1/tracks/2U7Zc6NrWQgUWdBAIFrzdI,https://api.spotify.com/v1/audio-analysis/2U7Zc6NrWQgUWdBAIFrzdI,172642,4
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,0.733,0.42,1,-4.604,1,0.0323,0.576,0,0.0682,0.794,136.03,audio_features,43k9g3vEP8z0qgkoyHjWV3,spotify:track:43k9g3vEP8z0qgkoyHjWV3,https://api.spotify.com/v1/tracks/43k9g3vEP8z0qgkoyHjWV3,https://api.spotify.com/v1/audio-analysis/43k9g3vEP8z0qgkoyHjWV3,181013,4
6,0.676,0.922,1,-4.754,0,0.0763,0.000571,0.000153,0.361,0.742,118.032,audio_features,1QiX3OmiJ3AyClandLJoEj,spotify:track:1QiX3OmiJ3AyClandLJoEj,https://api.spotify.com/v1/tracks/1QiX3OmiJ3AyClandLJoEj,https://api.spotify.com/v1/audio-analysis/1QiX3OmiJ3AyClandLJoEj,178930,4
7,,,,,,,,,,,,,,,,,,
8,0.401,0.746,0,-4.155,1,0.0734,0.197,0,0.0657,0.417,104.252,audio_features,6kIdjk3D8XxA2UafE0THGK,spotify:track:6kIdjk3D8XxA2UafE0THGK,https://api.spotify.com/v1/tracks/6kIdjk3D8XxA2UafE0THGK,https://api.spotify.com/v1/audio-analysis/6kIdjk3D8XxA2UafE0THGK,178133,4
9,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
