,track_name,artist_name,uri,id
0,Chameleon,Herbie Hancock,4Ce66JznW8QbeyTdSzdGwR,0.0
1,Chameleon,Mako,0eWOYqgysbSfsiCKl02xVN,0.0
2,Chameleon,PNAU,6400BZ7REh8DshcZKU7Pfp,0.0
3,Chameleon,Emancipator,0Ddpe8znDaOuERlgLhJLWX,0.0
4,Chameleon World,Jerry Paper,643sJJ4UvTQ3DWgPDa4JiQ,0.0
5,Chameleon,Boris Brejcha,6aJuHvTP9jj8CdwfHYtYWS,0.0
6,Chameleon Skin,The Flatliners,1yof4dWVrroHKfNbTWYPDS,0.0
7,Chameleon Boy,Blue October,4k67Lnw54kvIPvHjMbfziv,0.0
8,Chameleon,Mako,6FV0HKuLea5YlbU2opCWQP,0.0
9,Chameleon Paint,Tropical Fuck Storm,70jPS3Pe6lWAmOFXR7TeV0,0.0
10,Chameleon,PNAU,1upULGQhXYE55yHDMPh1QG,0.0
11,Karma Chameleon - Remastered,Culture Club,2wSAWEYUHkt92X4SBAPqZE,0.0
12,Chameleon,Hollow Front,5vNWJlxB2v8t83iUVTshmD,0.0
13,Chameleon,Michael Andrew,5aNFyBtlKyjvMIKGqpuX83,0.0
14,Chameleon Sunday,Arc De Soleil,1iKuDe4Wl214BGagyHhhcw,0.0
15,Chameleon,Maynard Ferguson,3Iw2CbRmyKRPGf1yj1HrRo,0.0
16,Chameleon,Michela,51FonRnKwkcXS6e0qwpEeY,0.0
17,Chameleon,Sweet Valley,0CnpVWnvWxiWAxxCUqgsz1,0.0
18,Chameleon,Mako,1XJKYgFHhQx5yrcijV4b74,0.0
19,Karma Chameleon,Culture Club,48O0GrGJWml3DzHhC5sJ7a,0.0
0,Ktheju Tokës,Jonida Maliqi,7p83db7oriaCul8WzoLr6f,1.0
1,Ktheju Tokës - Eurovision 2019 / Albania,Jonida Maliqi,78v85qYw9wW4ts7s4w8eOr,1.0
2,Ktheju Tokës,Jonida Maliqi,5GL5MpPp4cLt7HQItW4tBZ,1.0
3,Ktheju Tokës - Eurovision 2019 - Albania / Karaoke Version,Jonida Maliqi,09UHMV5ObOJAKMUnsW1GIj,1.0
4,Ktheju Tokës (Eurovision 2019) [16-Bit Jonida Maliqi Emulation],Arcade Player,6XIeM5JeiSjeptMuJfHpM2,1.0
5,Ktheju Tokës (Eurovision 2019) [8-Bit Jonida Maliqi Emulation],8-Bit Arcade,1RCt2fmsYrjv1SfIWt6Nyj,1.0
6,Ktheju Tokës - Eurovision 2019 - Albania / Karaoke Version,Jonida Maliqi,0P9yC2zsDrw5nBAnbSaxLd,1.0
0,Friend Of A Friend,Tim McGraw,33jIy7e0Efhpm7l3TnhBUc,2.0
1,Friend of a Friend,Weezer,3nCNFqvrzyNJlBxp6RldvT,2.0
2,Friend Of A Friend,Foo Fighters,7cxAyJ1UcrkejC7fTTZcUV,2.0
3,Friend Of A Friend,New Hope Club,4aqcuX0cYFpJAL5xA4DZzJ,2.0
4,Friend of a Friend,Lake Malawi,2U7Zc6NrWQgUWdBAIFrzdI,2.0
5,"Friend Of A Friend - Live at the Pantages Theatre, Los Angeles, CA - August 2006",Foo Fighters,2YVYq26E3XpUHjllzXHj8z,2.0
6,Friend of a Friend,Ak Benjamin,5nAZ8cKu0B2x4vRjp1NB6K,2.0
7,Friend of a Friend,Teen Ravine,31ETL8gxaIFLhPWdtZ5god,2.0
8,Friend Of A Friend,Red Rum Club,07jG38HjxvlRAaOwSr5ZyN,2.0
9,Friend of a Friend (Radio Edit),Lake Malawi,3iQcNu8EaUMXHYM4RF5srp,2.0
10,Friend of the Devil,Grateful Dead,5ZLzl6T8JwqMTMdoE0nCbU,2.0
